"cat","type","name","book","page","desc","sum","cost","ea","ka","vac","nopenalty","nostack"
"Armor","Armor","Armor Clothing ","EP",312,"The extra-resilient organoweave fibers and fullerene materials that offer basic protection against kinetic and energy weapons can be woven in with normal smart materials to create a wide range of discreet armor clothing that provides a subtle level of security. Such protective garments are indistinguishable from regular clothing and come in all styles and designs. Armor clothing provides an Armor Value of 3/4.",,"Trivial","3","4",,,
"Armor","Armor","Armor Vest ","EP","312","Armor vests provide more thorough protection to a body’s vital areas, covering the abdomen and torso completely, protecting the neck with a rigid collar, and even providing wrap-under protection for the groin. Though armor vests are not bulky, they are obvious as armor. Armor vests may be worn with armor clothing without penalty. Armor vests provide an Armor Value of 6/6.",,"Low","6","6",,,
"Armor","Armor","Battlesuit Powered Exoskeleton","EP","344","The battlesuit powered exoskeleton features a military-grade fullerene armor shell with flexible aerogel for thermal insulation and a diamond-hardened exterior designed to resist even potent ballistic and energy-based weapons. The suit also enhances the wearer’s strength and mobility, applying a +10 bonus to strength-based tests, inflicting an extra +1d10 damage and AP of –2 on melee attacks, and doubling the distance by which the character may jump. Battlesuits are completely sealed to protect the wearer from environmental factors and temperatures from –175 to 140 C. Battlesuit helmets are equipped with an ecto (p. 325), a radio booster (p. 314), and sensors equal to specs (p. 326). They are fitted with life support features and a maker (p. 328) capable of recycling all wastes and producing air for up to 48 hours and food and water indefinitely. These suits have an Armor Value of 21/21. Occupants may only wear armor with an Armor rating (Energy or Kinetic) of 4 or less; this worn armor is cumulative without layering penalties. ",,"Expensive",21,"21",1,1,
"Armor","Implant","Bioweave Armor (Light) ","EP","302","Bioweave armor involves lacing the morph’s skin with artificial spider silk bio­logical fibers. This provides an Armor rating of 2/3 without changing the appearance, texture, or sensitivity of the morph’s skin. This armor is cumulative with worn armor.",,"Low","2","3",,,
"Armor","Implant","Bioweave Armor (Heavy) ","EP","302","Heavy bioweave armor involves lacing the morph’s skin with a denser and thicker network of the same fibers. The morph’s skin becomes thicker and somewhat less flexible except at the joints. The morph’s skin also has an unusually smooth look, and a distinctively smooth and tough-feeling texture. This provides an Armor rating of 3/4 without decreasing the morph’s mobility. The character’s sense of touch, however, is significantly reduced (–20 modifier) except on their hands, feet, and face. This armor is cumulative with worn armor. ",,"Moderate","3","4",,,
"Armor","Armor","Body Armor (Light)","EP","312","These high performance armor outfits protect the wearer from head to toe. An integrated armor vest is supplemented with increased protection on the limbs and joints, while still managing to be flexible and non-restrictive. Body armor is typically worn by security and police forces, and supplemented with a helmet. It provides an Armor Value of 10/10. ",,"Low",10,"10",,,
"Armor","Armor","Body Armor (Heavy)","EP","312","These high performance armor outfits protect the wearer from head to toe. An integrated armor vest is supplemented with increased protection on the limbs and joints, while still managing to be flexible and non-restrictive. Body armor is typically worn by security and police forces, and supplemented with a helmet. It provides an Armor Value of 10/10. ",,"Moderate",13,"13",,,
"Armor","Implant","Carapace Armor","EP","303","Carapace armor combines bio­weave armor with hard but flexible plates of a chitin-ceramic hybrid material modeled on the microscopic structure and texture of arthropod exoskeletons. This armor is obvious and has a somewhat crocodilian or insectoid appearance (character’s choice). The morph is completely hairless as well. This provides an Armor rating of 11/11. This armor is not cumulative with worn armor. ",,"Moderate",11,"11",,,1
"Armor","Armor","Crash Suit (Inactive) ","EP","312","Designed for both industrial work­site safety and protection from accidental zero-G collisions, crash suits are also favored by sports enthusiasts and explorers. The basic jumpsuit offers comfortable protection equal to that of armor clothing. When activated with an electronic signal, however, elastic polymers within the suit stiffen and form rigid impact protection for vital areas. Crash suits provide an Armor Value of 3/4 when inactive and 4/6 when activated.",,"Low","3","4",,,
"Armor","Armor","Crash Suit (Active) ","EP","312","Designed for both industrial work­site safety and protection from accidental zero-G collisions, crash suits are also favored by sports enthusiasts and explorers. The basic jumpsuit offers comfortable protection equal to that of armor clothing. When activated with an electronic signal, however, elastic polymers within the suit stiffen and form rigid impact protection for vital areas. Crash suits provide an Armor Value of 3/4 when inactive and 4/6 when activated.",,"Low","4","6",,,
