"cat","type","name","book","page","desc","sum","cost"
"Gear","Standard Augmentations","Basic Biomods","EP","300",,"Morph heals at accelerated rate, is immune to most diseases and only needs 4 hours of sleep a day.","Moderate"
"Gear","Standard Augmentations","Basic Mesh Inserts","EP","300",,"Cranial computer, radio transceiver, 1km urban range, 20km rural, medical diagnostic system.","Moderate"
"Gear","Standard Augmentations","Cortical Stack","EP","300",,"Size of grape, stores a backup of Ego, normally implanted at base of skull.","Moderate"
"Gear","Standard Augmentations","Cyberbrain","EP","300",,"Cybernetic equivalent of the human brain. May hold only one ego at a time. Vulnerable to hacking.","Moderate"
"Gear","bioware","Direction Sense","EP","301",,"Can designate a direction as north/up and it has no trouble retracing routes.","Low"
"Gear","bioware","Echolocation","EP","301",,"Sonar with a range of 20m in air and 100m in water","Low"
"Gear","bioware","Enhanced Hearing","EP","301",,"Hearing sensitivity is five times normal range, +20 to perception based hearing tests.","Low"
"Gear","bioware","Enhanced Smell","EP","301",,"Gives a +20 to Perception or Kinesics based smell tests.","Low"
"Gear","bioware","Enhanced Vision","EP","301",,"Offers a 5x magnification, into extra spectrums and gives a +20 to perception based vision tests.","Low"
"Gear","bioware","Polarization Vision","PO","148",,"Gives the morph the ability to see polarised light and ignores negative visual Perception modifiers for camouflage, transparency, or viewing underwater.","Low"
"Gear","bioware","Ultraviolet Vision","PO","148",,"Adds perception of ultraviolet frequencies to the morph's visual capabilities.","Trivial"
"Gear","bioware","Eidetic Memory","EP","301",,"Perfect recall of long term memories but regular attention is needed to memorize details.","Low"
"Gear","bioware","Hyper Linguist","EP","301",,"(EP p. 301) ","Low"
"Gear","bioware","Math Boost","EP","301",,"(EP p. 301) ","Low"
"Gear","bioware","Multiple Personalities","EP","301",,"Holds two Egos in brain, they take turns being primary and grants one complex mental action.","High"
"Gear","bioware","Adrenal Boost","EP","302",,"Morph ignores 1 wound and gains +10 to REF. Endocrine Control makes it on/off at command.","High"
"Gear","bioware","Bioweave Armor (light)","EP","302",,"Grants Morph Armor of 2/3 and can be mixed with worn armor.","Low"
"Gear","bioware","Bioweave Armor (heavy)","EP","303",,"Grants Morph Armor of 3/4, is noticeable and can be mixed with worn armor.","Moderate"
"Gear","bioware","Carapace Armor","EP","303",,"Grants Morph Armor of 11/11 is obviously visible and can not be mixed with worn armor.","Moderate"
"Gear","bioware","Chameleon Skin","EP","303",,"Gives the Morph +20 to infiltration test when naked or wearing compatible clothing.","Low"
"Gear","bioware","Circadian Regulation","EP","304",,"Morph only needs 2 hours of sleep a day or 4 hours of sleep in 48 hours.","Moderate"
"Gear","bioware","Claws","EP","304",,"Morph has retractable claws. Generally considered legal.","Low"
"Gear","bioware","Clean Metabolism","EP","304",,"Morph is immune to most infections, has no bad breath, no scent and amore efficient digestion.","Moderate"
"Gear","bioware","bioware","EP","304",,"Controlled production and release of  into the Morph.","#REF!"
"Gear","bioware","bioware","EP","304",,"Controlled production and release of  into the Morph.","#REF!"
"Gear","bioware","bioware","EP","304",,"Controlled production and release of  into the Morph.","#REF!"
"Gear","bioware","bioware","EP","304",,"Controlled production and release of  into the Morph.","#REF!"
"Gear","bioware","bioware","EP","304",,"Controlled production and release of  into the Morph.","#REF!"
"Gear","bioware","Eelware","EP","304",,"Acts as shock gloves, and can power machines by touch.","Low"
"Gear","bioware","Emotional Dampers","EP","304",,"Morph has a +30 bonus to deception and impersonation tests  and a -10 to persuasion tests.","Low"
"Gear","bioware","Endocrine Control","EP","304",,"Gives Morph +30 to resist emotional manip, +20 to deception tests, can be awake for 2 days, ignores 1 wound and can activate Adrenal Boost at will.","High"
"Gear","bioware","Enhanced Pheromones","EP","305",,"Gives Morph +10 to all social skill tests such as persuasion.","Low"
"Gear","bioware","Enhanced Respiration","EP","305",,"Morph can breathe in 0.2 to 5 atmospheres and can hold breath for up to 30 minutes.","Low"
"Gear","bioware","Gills","EP","305",,"Morph can breathe water.","Low"
"Gear","bioware","Grip Pads","EP","305",,"Morph can climb up walls and across ceilings without extra equipment.","Low"
"Gear","bioware","Hibernation","EP","305",,"Morph can hibernate for 40 days without food or water. Take 3 min to leave state.","Low"
"Gear","bioware","Muscle Augmentation","EP","305",,"+5 SOM","High"
"Gear","bioware","Neurachem (Level 1)","EP","305",,"+1 speed","High"
"Gear","bioware","Neurachem (Level 2)","EP","305",,"+2 speed and -20 to all actions for an hour after it wears off.","Expensive"
"Gear","bioware","Poison Glands","EP","305",,"The morph has glands that produdude and grant immunity to  in its fingers and/or mouth. It can deliver  by scratching, biting or spiting.","Special"
"Gear","bioware","Prehensile Feet","EP","305",,"hands for feet","Low"
"Gear","bioware","Prehensile Tail","EP","305",,"+10 to any balance test","Moderate"
"Gear","bioware","Sex Switch","EP","305",,"Allows the Morph to change sex gender. Change takes a week.","Moderate"
"Gear","bioware","Skin Pocket","EP","305",,"can hide small items +30 bonus to concealment","Trivial"
"Gear","bioware","Temperature Tolerance","EP","305",,"Comfortable in -30 to +60 temperature","Low"
"Gear","bioware","Toxin Filters","EP","305",,"Immune to Chemical and biological toxins","Moderate"
"Gear","bioware","Vacuum Sealing","EP","306",,"Must have some kind of implant armor, comfortable in -75 to +100 temperature and takes no damage from vacum","High"
"Gear","bioware","Gliding Membrane","SW","166",,"Allows the morph to glide.","Low"
"Gear","bioware","Lateral Line","SW","166",,"Allows the morph to detect movement and vibrations through nearby liquids. ","Low"
"Gear","bioware","Low Pressure Tolerance","SW","166",,"Can spend 5 minutes in hard vacuum without incuring damage. Comfortable at higher altitudes on Mars.","Low"
"Gear","bioware","Temperature Cold Tolerance","SW","166",,"Comfortable in -80 to +60 temperature","Moderate"
"Gear","bioware","Wings","SW","166",,"Allows the morph to fly with a movement rate of 8/40","Moderate"
