"cat","type","name","book","page","desc","sum","cost","skill","damage","dmod","ap","hands","size"
"Melee Weapon","Blades","Diamond Axe","EP",334,"Commonly found on many habitats for fire and emergency purposes, axes require two hands to wield. Their blades are diamond-coated for superior cutting ability. ","Diamond coated axe. Common on habs for emergencies.","Low","Blades",2,3,-3,2,"medium"
"Melee Weapon","Blades","Flex Cutter","EP",334,"The blade of this machete-like weapon is made of a memory polymer. When deactivated, the blade is limp and flexible, and may even be rolled up or otherwise easily concealed. When activated, however, the blade stiffens and sharpens into a vicious slashing weapon. ","Machete-like blade that when deactivated, may be rolled up for concealment. When activated, the blade stiffens and sharpens.","Low","Blades",1,3,-1,1,"small"
"Melee Weapon","Blades","Knife","EP",334,"A standard cutting implement, still carried by many. ","A standard cutting implement, still carried by many. ","Trivial","Blades",1,2,-1,1,"small"
"Melee Weapon","Blades","Monofilament sword","EP",334,"Though swords are rather archaic in the time of Eclipse Phase, a few eccentrics take advantage of modern versions with a self-sharpening near-monomolecular edge, easily capable of slicing through metal or limbs. ","Modern version of classic sword with a self-sharpening edge, easily capable of slicing through metal or limbs. ","Low","Blades",2,2,-4,1,"medium"
"Melee Weapon","Blades","Vibroblade","EP",334,"These buzzing electronic blades vibrate at a high frequency for extra cutting ability. This has little extra effect when stabbing or slashing, but provides an extra –3 AP and +2d10 damage when carefully sawing through something.","Blades vibrates at high frequency for extra cutting ability for extra –3 AP and +2d10 damage when carefully sawing through something.","Low","Blades",2,0,-2,1,"small"
"Melee Weapon","Blades","Wasp Knife","EP",334,"Wasp knives are equipped with a canister in their handle. The common use is to fill these canisters with pressured air, which inflates inside the target. This is potentially lethal in vacuum or pressurized environments (like underwater), as the gas bursts out of the body cavity to escape (+2d10 damage in such situations). Wasp knives may also be loaded with chemicals, drugs, or nanobots. The target must be damaged for the canister’s contents to affect them. ","Equipped with a canister in their handle. Can be filled with pressured air for extra damage in vacuum or high pressure. Can be filled with poisons as well. ","Low","Blades",1,2,-1,1,"small"
"Melee Weapon","Clubs","Club","EP",334,"Clubs encompasses a wide range of one-handed blunt objects, from saps to sticks to pipes. ","One-handed blunt objects, from saps to sticks to pipes. ","Trivial","Clubs",1,2,0,1,"small"
"Melee Weapon","Clubs","Extendable Baton","EP",334,"This hardened composite baton retracts into its handle for easy carrying, storage, or concealment. Extending it simply requires a flick or an electronic signal. ","Baton retracts into its handle for easy concealment. Extends with a flick or an electronic signal. ","Trivial","Clubs",1,2,0,1,"small"
"Melee Weapon","Clubs","Shock Baton","EP",334,"Shock batons are standard clubs used for policing duties, but when activated they also deliver an electric shock to struck targets (see Shock Attacks, p. 204). ","Standard clubs, but when activated also deliver an electric shock to struck targets (see Shock Attacks, p. 204). ","Low","Clubs",1,2,0,1,"small"
"Melee Weapon","Exotic Melee: Monowire Garrote","Monowire Garrote","EP",334,"This assassin’s weapon features a dangerous monomolecular wire wrapped around a contained spool with two handles. One handle grips the spool, while the other extends the wire so that it may be used to wrap around targets (typically necks or limbs) and slice through them when pulled. Monofilament tensile strength is weak, however, usually breaking after one use.","Monomolecular wire in a contained spool with two handles. Used to wrap around targets and slice through them when pulled. Usually breaks after one use, though.","Moderate","Exotic Melee: Monowire Garrote",3,0,-8,2,"small"
