"cat","type","name","book","page","desc","sum","aptitudemax","CP","credits","COG","COO","INT","REF","SAV","SOM","WIL","5toskill","5fromskill","Durability","WT","morphtype","skill1","skill1value","skill2","skill2value","Gear","Traits","energyarmor","kineticarmor","traits","sizemod"
"Morph","Biomorph","Flat","EP",139,"Flats are baseline unmodified humans, born with all of the natural defects, hereditary diseases, and other genetic mutations that evolution so lovingly applies. Flats are increasingly rare,most died off with the rest of humanity during the Fall. Most new children are splicers,screened and genefixed at the least,except in habitats where flats are treated as second-class citizens and indentured labor. ","Flats are baseline unmodified humans, born with all of the natural defects, hereditary diseases, and other genetic mutations that evolution so lovingly applies. ",20,0,5000,0,0,0,0,0,0,0,0,0,30,6,1,,,,,,,0,0,,
"Morph","Biomorph","Splicer","EP",139,"Splicers are genefixed humans. Their genome has been cleansed of hereditary diseases and optimized for looks and health, but has not otherwise been substantially upgraded. Splicers make up the majority of transhumanity.","Splicers are genefixed humans. Their genome has been cleansed of hereditary diseases and optimized for looks and health, but has not otherwise been substantially upgraded.",25,10,5000,0,0,0,0,0,0,0,1,0,30,6,1,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack",,0,0,,
"Morph","Biomorph","Exalt","EP",139,"Exalt morphs are genetically enhanced humans, designed to emphasize specific traits. Their genetic code has been tweaked to make them healthier, smarter, and more attractive. Their metabolism is modified to predispose them towards staying fit and athletic for the duration of an extended lifespan.","Exalts are enhanced humans. They have been tweaked to be healthier, smarter, and more attractive. Their metabolism is predisposed towards staying fit and athletic.",30,30,20000,5,0,0,0,0,0,0,3,0,35,7,1,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack",,0,0,,
"Morph","Biomorph","Mentons","EP",139,"Mentons are genetically modified to increase cognitive abilities, particularly learning ability, creativity, attentiveness, and memory. Rumors exist of super-enhanced mentons with more extreme intelligence mods, but brain-hacking is notoriously difficult, and many attempts to redesign mental faculties result in impaired functioning, instability, or insanity.","Mentons are genetically modified to increase cognitive abilities, particularly learning ability, creativity, attentiveness, and memory. ",30,40,20000,10,0,5,0,0,0,5,1,0,35,7,1,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Eidetic Memory, Hyper Linguist, Math Boost",,0,0,,
"Morph","Biomorph","Olympian","EP",140,"Olympians are human upgrades with improved athletic capabilities like endurance, eye-hand coordination, and cardiovascular functions. Olympians are common among athletes, dancers, freerunners, and soldiers. ","Olympians are human upgrades with improved athletic capabilities like endurance, eye-hand coordination, and cardio-vascular functions.",30,40,20000,0,5,0,5,0,10,0,1,0,40,8,1,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack",,0,0,,
"Morph","Biomorph","Sylph","EP",140,"Sylph morphs are tailor-made for media icons, elite socialites, XP stars, models, and narcissists. Sylph gene sequences are specifically designed for distinctive good looks. Ethereal and elfin features are common, with slim and lithe bodies. Their metabolism has also been sanitized to eliminate unpleasant bodily odors and their pheromones adjusted for universal appeal. ","Sylphs are tailor made media icons, elite socialites, XP stars, models, and narcissists. Ethereal and elfin features are common, with slim and lithe bodies. ",30,40,20000,0,5,0,0,10,0,0,1,0,35,7,1,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Clean Metabolism, Enhanced Pheromones","Striking Looks (Level 1)",0,0,"Striking Looks (Level 1)",
"Morph","Biomorph","Bouncer","EP",140,"Bouncers are humans genetically adapted for zero-g and microgravity environments. Their legs are more limber, and their feet can grasp as well as their hands.","Bouncers are humans genetically adapted for zero-G and microgravity environments, and their feet can grasp as well as their hands.",30,40,20000,0,5,0,0,0,5,0,1,0,35,7,1,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Grip Pads, Oxygen Reserve, Prehensile Feet","Limber (Level 1)",0,0,"Limber (Level 1) ",
"Morph","Biomorph","Fury","EP",140,"Furies are combat morphs. These transgenic human upgrades feature genetics tailored for endurance, strength, and reflexes, as well as behavioral modifications for aggressiveness and cunning. To offset tendencies for unruliness and macho behavior patterns, furies feature gene sequences promoting pack mentalities and cooperation, and they tend to be biologically female.","Furies are combat morphs. These transgenic human upgrades feature genetics tailored for endurance, strength, and reflexes They tend to be female.",30,75,40000,0,5,0,5,0,10,5,1,0,50,10,1,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Bioweave Armor (light), Enhanced Vision, Neurachem (L1), Toxin Filters",,0,0,,
"Morph","Biomorph","Futura","EP",140,"An exalt variant, futura morphs were specially crafted for the  Lost generation. Tailor-made for accelerated growth and adjusted for confidence, self-reliance, and adaptability, futuras were intended to help transhumanity regain its foothold. These programs proved disastrous and the line was discontinued, but some models remain, viewed by some with distaste and others as collectibles or exotic oddities.","Futura morphs were specially crafted for the  Lost. Made for accelerated growth and adjusted for confidence, self-reliance, and adaptability.",30,40,50000,5,0,0,0,5,0,10,1,0,35,7,1,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Eidetic Memory, Emotional Dampers",,0,0,,
"Morph","Biomorph","Ghost","EP",140,"Ghosts are partially designed for combat applications, but their primary focus is stealth and infiltration. Their genetic profile encourages speed, agility, and reflexes, and their minds are modified for patience and problem-solving.","Ghosts are partially designed for combat applications, but their primary focus is stealth and infiltration. Designed for speed, agility, and reflexes.",30,70,40000,0,10,0,5,0,5,5,1,0,45,9,1,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Chameleon Skin, Adrenal Boost, Enhanced Vision, Grip Pads",,0,0,,
"Morph","Biomorph","Hibernoids","EP",140,"Hibernoids are transgenic-modified humans with heavily altered sleep patterns and metabolic processes. Hibernoids have a decreased need for sleep, requiring only 1/2 hours a day on average. They also have the ability to trigger a form of voluntary hibernation, effectively stopping their metabolism and need for oxygen. Hibernoids make excellent long-duration space travelers and habtechs, but these morphs are also favored by personal aides and hypercapitalists with non-stop lifestyles.","Hibernoids have heavily-altered sleep patterns, requiring only 1-2 hours a day. They also have the ability to trigger a form of voluntary hibernation.",25,25,20000,0,0,5,0,0,0,0,1,0,35,7,1,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Circadian Regulation, Hibernation",,0,0,,
"Morph","Biomorph","Neotenic","EP",141,"Neotenics are transhumans modified to retain a child-like form. They are smaller, more agile, inquisitive, and less resource-depleting, making them ideal for habitat living and spacecraft. Some people find neotenic sleeves distasteful, especially when employed in certain media and sex work capacities.","Neotenics are transhumans modified to retain a childlike form. They are smaller, more agile, inquisitive, and less resource depleting.",30,25,20000,0,5,5,5,0,0,0,1,0,30,6,1,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack","Social Stigma",0,0,"Social Stigma (Neotenic)",-10
"Morph","Biomorph","Remade","EP",141,"The remade are completely redesigned humans: humans 2.0. Their cardiovascular systems are stronger, the digestive tract has been sanitized and restructured to eliminate flaws, and they have otherwise been optimized for good health, smarts, and longevity with numerous transgenic mods. The remade are popular with the ultimates faction. The remade look close to human, but are different in very noticeable and sometimes eerie ways: taller, lack of hair, slightly larger craniums, wider eyes, smaller noses, smaller teeth, and elongated digits.","The remade are humans 2.0. They have been optimized for good health, smarts, and longevity with numerous transgenic mods. ",40,60,40000,10,0,0,0,5,10,0,2,0,40,8,1,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Circadian Regulation, Clean Metabolism, Eidetic Memory, Enhanced Respiration, Temperature Tolerance, Toxin Filters","Uncanny Valley",0,0,"Uncanny Valley ",
"Morph","Biomorph","Premium Ruster","EP",141,"Adapted for survival with minimum gear in the not-yet-terraformed Martian environment, these transgenic morphs feature insulated skin for more effective thermoregulation and respiratory system improvements to require less oxygen and filter carbon dioxyde, among other mods. ","Rusters are adapted for survival in the Martian environment, these morphs are free from the Planned Obsolescence that has been imposed on Regular Ruster models.",25,25,20000,0,0,0,0,0,5,0,1,0,35,7,1,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Enhanced Respiration, Temperature Tolerance",,0,0,,
"Morph","Uplift","Neo-Avian","EP",141,"Neo-avians include ravens, crows, and gray parrots uplifted to human-level intelligence. Their physical sizes are much larger than their non-uplifted cousins (to the size of a human child), with larger heads for their increased brain size. Numerous transgenic modifications have been made to their wings, allowing them to retain limited flight capabilities at 1 g, but giving them a more bat-like physiology so they can bend and fold better and adding primitive digits for basic tool manipulation. Their toes are also more articulated and now accompanied with an opposable thumb. Neo-avians have adapted well to microgravity environments, and are favored for their small size and reduced resource use. ","Neo-avians include ravens, crows, and gray parrots uplifted to human-level intelligence. They are favored for their small size and reduced resource use.",25,25,20000,0,0,5,10,0,0,0,1,0,20,4,4,,,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Wings, Ultraviolet Vision",,0,0,,
"Morph","Uplift","Neo-Hominid","EP",141,"Neo-hominids are uplifted chimpanzees, gorillas, and orangutans. All feature enhanced intelligence and bipedal frames.","Neo-hominids are uplifted chimpanzees, gorillas, and orangutans. All feature enhanced intelligence and bipedal frames.",25,25,20000,0,5,5,0,0,5,0,1,0,30,6,4,"Climbing",10,,,"Basic Biomods, Basic Mesh Inserts, Cortical Stack, Prehensile Feet",,0,0,,
