"cat","type","name","book","page","desc","sum","cost","acc_allowed","acc_default","skill","damage","dmod","ap","modes","cf","shots","r1","r2","r3","r4","ammo","hands","size"
"Ranged Weapon","Kinetic","Light Pistol","EP",335,"Pistols are small-sized (Gear Sizes, p. 297) and designed for one-hand use. Light pistols sacrifice penetrating ability for concealability. Heavy pistols focus on stopping power, with medium pistols occupying a middle ground. All versions fire in semi-automatic, burst-fire, and full-auto modes. ","Designed for one-hand use. Light pistols sacrifice penetrating ability for concealability.","Low","Arm Slide,Extended Magazine,Gyromount,Imaging Scope,Flash Suppressor,Laser Sight,Shock Safety,Silencer,Smart Magazine","Smartlink,Safety System","Kinetic Weapons",2,0,0,"SA,BF,FA",1,16,10,25,40,60,"Pistol",1,"small"
"Ranged Weapon","Kinetic","Medium Pistol","EP",335,"Pistols are small-sized (Gear Sizes, p. 297) and designed for one-hand use. Light pistols sacrifice penetrating ability for concealability. Heavy pistols focus on stopping power, with medium pistols occupying a middle ground. All versions fire in semi-automatic, burst-fire, and full-auto modes. ","Designed for one-hand use. Medium Pistols balance power and size.","Low","Arm Slide,Extended Magazine,Gyromount,Imaging Scope,Flash Suppressor,Laser Sight,Shock Safety,Silencer,Smart Magazine","Smartlink,Safety System","Kinetic Weapons",2,2,-2,"SA,BF,FA",1,12,10,30,50,70,"Pistol",1,"small"
"Ranged Weapon","Kinetic","Heavy Pistol","EP",335,"Pistols are small-sized (Gear Sizes, p. 297) and designed for one-hand use. Light pistols sacrifice penetrating ability for concealability. Heavy pistols focus on stopping power, with medium pistols occupying a middle ground. All versions fire in semi-automatic, burst-fire, and full-auto modes. ","Designed for one-hand use. Heavy pistols focus on stopping power, at the expense of concealability.","Low","Arm Slide,Extended Magazine,Gyromount,Imaging Scope,Flash Suppressor,Laser Sight,Shock Safety,Silencer,Smart Magazine","Smartlink,Safety System","Kinetic Weapons",2,4,-4,"SA,BF,FA",1,10,10,35,60,80,"Pistol",1,"small"
"Ranged Weapon","Kinetic","Light Rail Pistol","EP",335,"Pistols are small-sized (Gear Sizes, p. 297) and designed for one-hand use. Light pistols sacrifice penetrating ability for concealability. Heavy pistols focus on stopping power, with medium pistols occupying a middle ground. All versions fire in semi-automatic, burst-fire, and full-auto modes. ","Designed for one-hand use. Light pistols sacrifice penetrating ability for concealability.","Moderate","Arm Slide,Extended Magazine,Gyromount,Imaging Scope,Flash Suppressor,Laser Sight,Shock Safety,Silencer,Smart Magazine","Smartlink,Safety System","Kinetic Weapons",2,2,-3,"SA,BF,FA",1,16,15,37,60,90,"Pistol-R",1,"small"
"Ranged Weapon","Kinetic","Medium Rail Pistol","EP",335,"Pistols are small-sized (Gear Sizes, p. 297) and designed for one-hand use. Light pistols sacrifice penetrating ability for concealability. Heavy pistols focus on stopping power, with medium pistols occupying a middle ground. All versions fire in semi-automatic, burst-fire, and full-auto modes. ","Designed for one-hand use. Medium Pistols balance power and size.","Moderate","Arm Slide,Extended Magazine,Gyromount,Imaging Scope,Flash Suppressor,Laser Sight,Shock Safety,Silencer,Smart Magazine","Smartlink,Safety System","Kinetic Weapons",2,4,-5,"SA,BF,FA",1,12,15,45,75,105,"Pistol-R",1,"small"
"Ranged Weapon","Kinetic","Heavy Rail Pistol","EP",335,"Pistols are small-sized (Gear Sizes, p. 297) and designed for one-hand use. Light pistols sacrifice penetrating ability for concealability. Heavy pistols focus on stopping power, with medium pistols occupying a middle ground. All versions fire in semi-automatic, burst-fire, and full-auto modes. ","Designed for one-hand use. Heavy pistols focus on stopping power, at the expense of concealability.","Moderate","Arm Slide,Extended Magazine,Gyromount,Imaging Scope,Flash Suppressor,Laser Sight,Safety System,Silencer,Smart Magazine","Smartlink,Safety System","Kinetic Weapons",2,6,-7,"SA,BF,FA",1,10,15,52,90,120,"Pistol-R",1,"small"
"Ranged Weapon","Kinetic","SMG","EP",335,"SMGs use pistol ammunition, but are medium-sized (Gear Sizes, p. 297) and may fire in semi-auto, burst fire, or full auto modes. They typically are designed in a bullpup configuration for close quarters operations and are ideal for tactical and strike teams. ","SMGs use pistol ammunition, but are medium-sized, designed for close quarters operations and are ideal for tactical and strike teams.","Moderate","Extended Magazine,Gyromount,Imaging Scope,Flash Suppressor,Laser Sight,Shock Safety,Silencer,Smart Magazine","Smartlink,Safety System","Kinetic Weapons",2,3,-2,"SA,BF,FA",1,20,30,80,125,230,"SMG",1,"medium"
"Ranged Weapon","Kinetic","SMRG","EP",335,"SMGs use pistol ammunition, but are medium-sized (Gear Sizes, p. 297) and may fire in semi-auto, burst fire, or full auto modes. They typically are designed in a bullpup configuration for close quarters operations and are ideal for tactical and strike teams. ","SMGs use pistol ammunition, but are medium-sized, designed for close quarters operations and are ideal for tactical and strike teams.","High","Extended Magazine,Gyromount,Imaging Scope,Flash Suppressor,Laser Sight,Shock Safety,Silencer,Smart Magazine","Smartlink,Safety System","Kinetic Weapons",2,5,-5,"SA,BF,FA",1,20,45,120,187,345,"SMG-R",1,"medium"
"Ranged Weapon","Kinetic","Automatic Rifle","EP",335,"Automatic rifles use rifle ammu­nition and have greater range and penetration than SMGs. They fire in semi-auto, burst fire, or full auto modes. They are two-handed weapons. ",,"Moderate","Extended Magazine,Gyromount,Imaging Scope,Flash Suppressor,Laser Sight,Shock Safety,Silencer,Smart Magazine","Smartlink,Safety System","Kinetic Weapons",2,6,-6,"SA,BF,FA",1,30,150,250,500,900,"Rifle",2,"medium"
"Ranged Weapon","Kinetic","Automatic Rail Rifle","EP",335,"Automatic rifles use rifle ammu­nition and have greater range and penetration than SMGs. They fire in semi-auto, burst fire, or full auto modes. They are two-handed weapons. ",,"High","Extended Magazine,Gyromount,Imaging Scope,Flash Suppressor,Laser Sight,Shock Safety,Silencer,Smart Magazine","Smartlink,Safety System","Kinetic Weapons",2,8,-9,"SA,BF,FA",1,30,225,375,750,1350,"Rifle-R",2,"medium"
"Ranged Weapon","Kinetic","Sniper Rifle","EP",335,"Sniper rifles are optimized for range, accuracy, penetration, and stopping power. They fire in semi-auto mode only and are two-handed weapons. ","Sniper rifles are optimized for range, accuracy, penetration, and stopping power.","High","Extended Magazine,Gyromount,Imaging Scope,Flash Suppressor,Laser Sight,Shock Safety,Silencer,Smart Magazine","Smartlink,Safety System","Kinetic Weapons",2,10,-12,"SA",0,12,180,400,1100,2300,"Sniper",2,"medium"
"Ranged Weapon","Kinetic","Sniper Railgun","EP",335,"Sniper rifles are optimized for range, accuracy, penetration, and stopping power. They fire in semi-auto mode only and are two-handed weapons. ","Sniper rifles are optimized for range, accuracy, penetration, and stopping power.","Expensive","Extended Magazine,Gyromount,Imaging Scope,Flash Suppressor,Laser Sight,Shock Safety,Silencer,Smart Magazine","Smartlink,Safety System","Kinetic Weapons",2,12,-15,"SA",0,12,270,600,1650,3450,"Sniper-R",2,"medium"
"Ranged Weapon","Kinetic","Machine Gun","EP",335,"Machine guns are heavy weapons, typically mounted, and intended to provide continuous fire for support or suppressive purposes. They fire in burst fire or full auto modes, and are two-handed weapons. ","Heavy weapons, typically mounted, and intended to provide continuous fire for support or suppressive purposes.","High","Extended Magazine,Gyromount,Imaging Scope,Flash Suppressor,Laser Sight,Shock Safety,Silencer,Smart Magazine","Smartlink,Safety System","Kinetic Weapons",2,6,-6,"BF,FA",1,50,100,400,1000,2000,"Rifle",2,"medium"
"Ranged Weapon","Kinetic","Machine Railgun","EP",335,"Machine guns are heavy weapons, typically mounted, and intended to provide continuous fire for support or suppressive purposes. They fire in burst fire or full auto modes, and are two-handed weapons. ","Heavy weapons, typically mounted, and intended to provide continuous fire for support or suppressive purposes.","Expensive","Extended Magazine,Gyromount,Imaging Scope,Flash Suppressor,Laser Sight,Shock Safety,Silencer,Smart Magazine","Smartlink,Safety System","Kinetic Weapons",2,8,-9,"BF,FA",1,50,150,600,1500,3000,"Rifle-R",2,"medium"
"Ranged Weapon","Beam","Laser Pulser","EP",338,"Laser weapons use focused beams of light to inflict damage on the target by burning into it and causing its outer surface to vaporize and expand, creating an explosive effect. The laser beam is pulsed in order to bite into the target before the beam is diffused. Pulsers are vulnerable to atmospheric effects like dust, mist, smoke, or rain, however—the gamemaster should reduce their effective range categories as appropriate. Note that laser pulses are invisible in the normal visual spectrum (but are visible to characters with enhanced vision). Pulsers are medium-sized (see p. 297) and fire in semi-auto mode.  
One advantage to the pulser is that it can be placed in less-lethal mode. In this case, it first fires a pulse at the target to create a ball of plasma, quickly fired by a second pulse that strikes the plasma and creates a flash-bang shockwave to stun and disorient the target. This blast has an area of effect with a 1-meter radius. 
Anyone caught in the blast must make a SOM × 2 Test (SOM × 3 for synthmorphs or biomorphs with any form of pain tolerance). Failure means the target is temporarily stunned and disoriented and loses their next action. A critical failure means the target is knocked down and paralyzed for 1 Action Turn per 10 points of MoF. In this stun setting, the pulser fires only in single-shot mode. ","Vulnerable to atmospheric effects like dust, mist, smoke, or rain. Beam only visible with enhanced vision. Has non-lethal explosion mode.","Moderate","Gyromount,Imaging Scope,Laser Sight,Shock Safety,","Smartlink,Safety System","Beam Weapons",2,0,0,"SA",1,100,30,100,150,250,,1,"medium"
"Ranged Weapon","Beam","Microwave Agonizer","EP",339,"The agonizer fires millimeter-wave beams that create an unpleasant burning sen­sation in skin (even through armor) and to metals. Agonizers have two settings. The first is an active denial setting that causes extreme burning pain in the target, inflicting –20 to the target’s actions and forcing them to move away from the beam on their next action unless they succeed in a WIL Test (targets with Level 1 Pain Tolerance or the equivalent only suffer a –10 modifier and roll WIL × 2). Synthetic morphs and biomorphs with Level 2 Pain Tolerance (or the equivalent) are immune to this weapon. The second setting (colloquially known as the “roast” setting) has the same effect of the first, but also actually burns the target, inflicting the listed damage. Originally developed for crowd control, the agonizer is also useful for repelling animals. The agonizer is small-sized (p. 297) and fires in single-shot mode. ","Fires beam that causes a burning sensation. First setting hinders but does not damage. Second “roast” setting causes listed damage.","Moderate","Gyromount,Imaging Scope,Laser Sight,Shock Safety,","Smartlink,Safety System","Beam Weapons",2,0,-5,"SS",0,50,5,15,30,50,,1,"small"
