"cat","type","name","book","page","desc","sum","psitype","action","range","duration","strain","skill"
"Sleight","Psi-Chi","Ambience Sense","EP",223,"This sleight provides the async with an instinctive sense about an area and any potential threats nearby. The async receives a +10 modifier to all Investigation, Perception, Scrounging, and Surprise Tests. ","+10 modifier to all Investigation, Perception, Scrounging, and Surprise Tests.","Passive","Automatic","Self","Constant",,
"Sleight","Psi-Chi","Cognitive Boost","EP",223,"The async can temporarily elevate their cognitive performance. In game terms, Cognition is raised by 5 for the chosen duration. This boost to Cognition also raises the rating of skills linked to that aptitude. ","+5 Cognition for the chosen duration.","Active","Quick","Self","Temp (Action Turns)",-1,
"Sleight","Psi-Chi","Downtime","EP",224,"This sleight provides the async with the ability to send the mind into a fugue-state regenerative downtime, during which the character’s psyche is repaired. The async must enter the downtime for at least 4 hours; every 4 hours of downtime heals 1 point of stress damage. Traumas, derangements, and disorders are unaffected by this sleight. For all sensory purposes, the async is catatonic during downtime, completely oblivious to the outside world. Only severe distur­bances or physical shock (such as being wounded or hit by a shock weapon) will bring the async out of it. ","Heals 1 point of stress damage per 4 hours of downtime.","Active","Task","Self","Sustained",,
"Sleight","Psi-Chi","Emotional Control","EP",224,"Emotion Control gives the async tight control over their emotional states. Unwanted emotions can be blocked out and others embraced. This has the benefit of protecting the async from emotional manipulation, such as the Drive Emotion sleight or Intimidation skill tests. The async receives a +30 modifier when defending against such tests. ","+30 modifier for tests against emotional manipulation, such as the Drive Emotion sleight or Intimidation skill tests.","Passive","Automatic","Self","Constant",,
"Sleight","Psi-Chi","Enhanced Creativity","EP",224,"An async with Enhanced Creativity is more imaginative and more inclined to think outside the box. Apply a +20 modifier to any tests where creativity plays a major role. This level of ingenuity can sometimes seem strange and different, manifesting in odd or creepy ways, especially with artwork. ","+20 modifier to any tests where creativity plays a major role.","Passive","Automatic","Self","Constant",,
"Sleight","Psi-Chi","Filter","EP",224,"Filter allows the async to filter out distractions and eliminate negative situational modifiers from distrac­tion, up to the gamemaster’s discretion. ","Filter out distractions and eliminate negative situational modifiers from distraction, up to the gamemaster’s discretion.","Passive","Automatic","Self","Constant",,
"Sleight","Psi-Chi","Grok","EP",224,"By using the Grok sleight, the async is able to intuitively understand how any unfamiliar object, vehicle, or device is used simply by looking at and handling it. If the character succeeds in a COG × 2 Test, they achieve a basic ability to use the object, vehicle, or device, no matter how alien or bizarre. This sleight does not provide any understanding of the principles or technologies involved—the psi user simply grasps how to make it work. If a test is called for, the psi user receives a +20 modifier to use the device (this bonus only applies to unfamiliar devices, and/or tests the character is defaulting on—it does not apply to devices with which the character is familiar). ","COG × 2 Test, to achieve a basic ability to use object, vehicle, or device, no matter how alien or bizarre. +20 on tests to use the device.","Active","Complex","Self","Instant",-1,
"Sleight","Psi-Chi","High Pain Threshold","EP",224,"This sleight allows the async to block out, ignore, or otherwise isolate pain. The async reduces negative modifiers from wounds by 10. ","Reduces negative modifiers from wounds by 10. ","Passive","Automatic","Self","Constant",,
"Sleight","Psi-Chi","Hyperthymesia","EP",224,"Hyperthymesia grants the async a superior auto­biographical memory, allowing them to remember the most trivial of events. A hyperthymestic async can be asked a random date and recall the day of the week it was, the events that occurred that day, what the weather was like, and many seemingly trivial details that most people would not be able to recall. ","Superior auto­biographical memory, allowing recall of the most trivial of events that most people would have forgotten.","Passive","Automatic","Self","Constant",,
"Sleight","Psi-Chi","Instinct","EP",224,"Instinct bolsters the async’s subconscious ability to gauge a situation and make a snap judgment that is just as accurate as a careful, considered decision. For Task Actions that involve analysis or planning alone (typically Mental skill actions), the async may reduce the timeframe by 90% without suffering a modifier. For Task Actions that involve partial analysis/planning, they may reduce the timeframe by 30% without penalty. ","Reduce the timeframe by 90% for Task Actions that involve analysis or planning alone (or 30% if only partial analysis/planning) without suffering a modifier.","Passive","Automatic","Self","Constant",,
"Sleight","Psi-Chi","Multitasking","EP",224,"The async can handle vast amounts of information without overload and can perform more than one mental task at once. The character receives an extra Complex Action each Action Phase that may only be used for mental or mesh actions. "," Receive an extra Complex Action each Action Phase that may only be used for mental or mesh actions. ","Passive","Automatic","Self","Constant",,
"Sleight","Psi-Chi","Pattern Recognition","EP",224,"The character is adept at spotting patterns and correlating the non-random elements of a jumble—related items jump out at them. This is useful for translating languages, breaking codes, or finding clues hidden among massive amounts of data. The character must have a sufficiently large sample and time enough to study, as determined by the gamemaster. This might range from a few hours of listening to a spoken transhuman language to a few days of investigating inscriptions left by long-dead aliens or a week or more of researching a lengthy cipher. Languages may be comprehended by reading or listening to them spoken. Apply a +20 modifier to any appropriate Language, Investigation, Research, or codebreaking Tests (note that this does not apply to Infosec Tests made by software to decrypt a code). The async may also use this ability to more easily learn new languages, reducing the training time by half. ","+20 to appropriate Language, Investigation, Research, or codebreaking Tests (except Infosec Tests by software to decrypt code). Half training time to learn new languages.","Passive","Automatic","Self","Constant",,
"Sleight","Psi-Chi","Predictive Boost","EP",225,"The Bayesian probability machine features of the async’s brain are boosted by this sleight, enhancing their ability to estimate and predict outcomes of events around them as they unfold in real-time and update those predictions as information changes. In effect, the character has a more intuitive sense for which outcomes are most likely. This grants the character a +10 bonus on any skill tests that involve predicting the outcome of events. It also bolsters the async’s decision-making in combat situations by making the best course of action more clear and so provides a +1 bonus to Initiative and +10 to Fray Tests. ","+10 on any skill tests that involve predicting the outcome of events. +1 bonus to Initiative and +10 to Fray Tests.","Passive","Automatic","Self","Constant",,
"Sleight","Psi-Chi","Qualia","EP",225,"The async can temporarily increase their intuitive grasp of things. In game terms, Intuition is raised by 5 for the chosen duration. This boost to Intuition also raises the rating of skills linked to that aptitude. ","Intuition is raised by 5 for the chosen duration. This boost to Intuition also raises the rating of skills linked to that aptitude. ","Active","Quick","Self","Temp (Action Turns)",,
"Sleight","Psi-Chi","Savant Calculation","EP",225,"The character possesses an incredible facility with intuitive mathematics. They can do everything from calculate the odds exactly when gambling to predicting precisely where a leaf falling from a tree will land by observing the landscape and local wind currents. The character specializes in calculation involving the activity of complex chaotic systems and so can calculate answers that even the fastest computers could not, including things like patterns of rubble distribution from an explosion. However, this mathematic facility is largely intuitive, so the character does not know the equations they are solving, they merely know the solution to the problem. ","Genius at intuitive mathematics especially in chaotic systems (like hydrodynamics). Also +30 modifier to any skill tests involving doing math without a computer.","Passive","Automatic","Self","Constant",,
"Sleight","Psi-Chi","Sensory Boost","EP",225,"An async uses this sleight to increase their natural or augmented sensory perception (visual, audio, olfactory, etc.) by enhanced cerebral processing, granting a +20 modifier to sensory-based Perception Tests. ","+20 to sensory-based Perception Tests. ","Active","Quick","Self","Temp (Action Turns)",,
"Sleight","Psi-Chi","Superior Kinesics","EP",225,"The async acquires more insight into people’s emotive signals, gestures, facial expressions, and body lan­guage when it comes to predicting the person’s emo­tional state, intent, or reactions. Apply a +10 modifier to Kinesics Skill Tests. ","+10 modifier to Kinesics Skill Tests. ","Passive","Automatic","Self","Constant",,
"Sleight","Psi-Chi","Time Sense","EP",225,"An async with this ability can slow down their perception of time, making everything appear to move in slow motion or at reduced speed. In game terms, this sleight grants the async a Speed of +1. This extra Action Phase, however, can only be spent on mental and mesh actions. ","+1 Speed. Extra Action Phase can only be spent on mental and mesh actions. ","Active","Automatic","Self","Temp (Action Turns)",,
"Sleight","Psi-Chi","Unconcious Lead","EP",225,"This sleight allows the async to override their consciousness and let their unconscious mind take point. While in this state, the async’s conscious mind is only dimly aware of what is transgressing, and any memories of this period will be hazy at best. The advantage is that the unconscious mind acts more quickly, and so the async’s Speed is boosted by +1. The character remains aware and active, but is incapable of complex communication or other mental actions and is motivated by instinct and primitive urges more than conscious thought. Though it is recommended that the player retain control of their character while using Unconscious Lead, the gamemaster should feel free to direct the character’s actions as they see fit. ","+1 Speed, but incapable of complex communication or other mental actions and is motivated by instinct and primitive urges.","Active","Automatic","Self","Temp (Action Turns)",,
"Sleight","Psi-Gamma","Alienation","EP",226,"Alienation is an offensive sleight that create a sense of disconnection between an ego and its morph—similar to that experienced when resleeved into a new body. The ego finds their body cumbersome, strange, and alien, almost like they are a prisoner within it. If the async beats the target in an Opposed Test, treat the result as a failed Integration Test (p. 271) for the target. This effect lasts for the sleight’s duration. ","If the async beats the target in an Opposed Test, treat the result as a failed Integration Test (p. 271) for the target. This effect lasts for the sleight’s duration. ","Active","Complex","Touch","Temp (Action Turns)",0,"Psi Assault"
