"cat","type","name","book","page","desc","sum","cp1","cp2","cp3","morphtype","morphallowed"
"Trait","Ego Trait","Adaptability","EP",145,"Resleeving is a breeze for this character. They adjust to new morphs much more quickly than most other people. Apply a +10 modifier per level for Integration Tests (p. 271) and Alienation Tests (p. 272). ","+10 modifier per level for Integration Tests (p. 271) and Alienation Tests (p. 272).",10,20,,,
"Trait","Ego Trait","Allies","EP",145,"The character is part of or has a relationship with some influential group that they can occasionally call on for support. For example, this could be their old gatecrashing crew, former research lab co-workers, a criminal cartel they are part of, or an elite social clique. The gamemaster and player should work out what the character’s relationship is with this group, and why the character can call on them for aid. Gamemaster’s should take care that these allies are not abused, such as calling on them more than once per game session. The character’s ties to this group are also a two-way street—they will be expected to perform duties for the group on occasion as well (a potential plot seed for scenarios). ","Character is has a relationship with some influential group that they can occasionally call on for support.",30,,,,
"Trait","Ego Trait","Ambidextrous","EP",145,"The character can use and manipulate objects equally well with both hands (they do not suffer the off-hand modifier, as noted under Wielding Two or More Weapons, p. 206). If the character has other prehensile limbs (feet, tail, tentacles, etc.), this trait may be applied to a limb other than the hand. This trait may be taken multiple times for multiple limbs. ","No off-hand modifier (Wielding 2+ Weapons, p. 206). Can apply to other prehensile limbs (feet, tail, tentacles, etc.) Must be taken multiple times for multiple limbs.",10,20,30,,
"Trait","Ego Trait","Animal Empathy","EP",145,"The character has an instinctive feel for handling and working with non-sapient animals of all kinds. Apply a +10 modifier to Animal Handling skill tests or whenever the character makes a test to influence or interact with an animal ","+10 modifier to Animal Handling skill tests or test to interact with an animals.",5,,,,
"Trait","Ego Trait","Brave","EP",145,"This character does not scare easily and will face threats, intimidation, and certain bodily harm without flinching. As a side effect, the character is not always the best at gauging risks, especially when it comes to factoring in danger to others. The char­acter receives a +10 modifier on all tests to resist fear or intimidation. ","+10 modifier on all tests to resist fear or intimidation.",10,,,,
"Trait","Ego Trait","Common Sense","EP",145,"The character has an innate sense of judgment that cuts through other distractions and factors that might cloud a decision. Once per game session, the player may ask the gamemaster what choice they should make or what course of action they should take, and the gamemaster should give them solid advice based on what the character knows. Alternatively, if the character is about to make a disastrous decision, the gamemaster can use the character’s free hint and warn the player they are making a mistake. ","Once per session, the player may ask the gamemaster what choice they should make.",10,,,,
"Trait","Ego Trait","Danger Sense","EP",145,"The character has an intuitive sixth sense that warns them of imminent threats. They receive a +10 modifier on Surprise Tests (p. 204). ","+10 modifier on Surprise Tests (p. 204).",10,,,,
"Trait","Ego Trait","Direction Sense","EP",145,"Somehow the character always knows which way is up, north, etc., even when blinded. The character receives a +10 modifier for figuring out complex directions, reading maps, and remembering or retrac­ing a path they have taken. ","+10 modifier for figuring out complex directions, reading maps, and remembering or retrac­ing a path they have taken.",5,,,,
"Trait","Ego Trait","Eidetic Memory","EP",146,"Much like a computer, the character has perfect memory recall. They can remember anything they have sensed, often even from a single glance. This works the same as the eidetic memory implant (p. 301). ","Character has perfect memory recall, same as the eidetic memory implant (p. 301). ",10,,,,
"Trait","Ego Trait","Exceptional Aptitude","EP",146,"As an ego trait, the character may raise the maximum for a particular chosen aptitude to 40 rather than 30 (p. 122). As a morph trait, it raises the morph aptitude maximum (p. 124) for a particular chosen aptitude by 10 (30 for flats, 35 for splicers, 40 for all others). Note that this trait just raises the maximum, it does not give the character 10 more aptitude points. This trait may only be taken by a morph or ego once. ","Raise the maximum for a particular chosen aptitude to 40 rather than 30 (p. 122). Just raises the maximum, does not give 10 more aptitude points. ",20,,,,
"Trait","Ego Trait","Expert","EP",146,"The character is a legend in the use of one particular skill. The character may raise one learned skill over 80, to a maximum of 90, during character creation. This trait does not actually increase the skill, it just raises the maximum. This trait may only be taken once. ","Raise one learned skill over 80, to a maximum of 90, during character creation. This trait does not actually increase the skill, it just raises the maximum.",10,,,,
"Trait","Ego Trait","Fast Learner","EP",146,"The character improves skills and learns new ones in half the time it normally takes (see Improving Skills, p. 152). ","Improves and learns skills in half the time (see Improving Skills, p. 152). ",10,,,,
"Trait","Ego Trait","First Impression","EP",146,"The character has a way of charming or otherwise making a good impression the first time they interact with someone. This innate social lubricant allows them to more readily deal with new contacts and slip right into new social environments. Apply a +10 modifier on social skill tests when the character is interacting with another character for the first time only. ","+10 modifier on social skill tests when the character is interacting with another character for the first time only.",10,,,,
"Trait","Ego Trait","Home Turf","PO",145,"This character knows a particular habitat like the back of their hand, paw, or tentacle, having grown up there or spent years familiarizing themselves. They receive an extra point of Moxie that may only be used for tests that apply to that habitat, such as navigating the best route, bypassing airlock controls, or hacking its infrastructure.","1/3 time and exp. to learn a language (see Improving Skills, p. 152). Can learn a human language in 1 day by immersive exposure. +10 to interpret unlearned languages.",10,,,,
"Trait","Ego Trait","Hyper Linguist","EP",146,"The character has an intuitive understanding of linguistic structures that facilitates learning new lan­guages easily. The character requires one-third the normal amount of time and experience to learn any language (see Improving Skills, p. 152). The character can also learn any human language in one day simply by constant immersive exposure to it. Additionally, the character receives a +10 modifier when attempting to interpret languages they don’t know. ","An extra point of Moxie only for tests that apply to their home habitat, such as navigating, bypassing airlock controls, or hacking its infrastructure.",10,,,,
"Trait","Ego Trait","Information Control","PO",145,"This character has a knack for diligence and caution in their daily living, online, and social networking interactions, reducing the amount of extraneous or sensitive information about themselves that leaks out in the public eye. Apply a ?10 modifier to any Research Tests to gather information on the character or track them online (see Scanning, Tracking, and Monitoring, p. 251, EP) and any Networking Tests to ascertain the character’s networking interactions (see Keeping It Quiet, p. 288, EP).","?10 Research Tests to gather information on or track character online ( p. 251, EP) and Networking Tests to track character’s networking interactions (see, p. 288, EP).",10,,,,
"Trait","Ego Trait","Math Wiz","EP",146,"The character can perform any feat of calculation, including the most complex and advanced mathematics, instantly and with great precision, with the same ease an unmodified human can add 2 + 3. The charac­ter can calculate odds, find correlations in numerical data, and perform similar tasks with great ease. Apply a +30 modifier on tests involving math calculations. ","+30 modifier on tests involving math calculations.",10,,,,
